# Rime user dictionary
#@/db_name	xoox.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	52095
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=25 d=6.92897e-14 t=52095
ba ni 	把你	c=1 d=2.65181e-91 t=52095
ba shi yi 	八十一	c=1 d=8.46541e-41 t=52095
ba ta 	把它	c=2 d=9.4382e-56 t=52095
ba wang 	霸王	c=1 d=1.72087e-92 t=52095
ba xia lai 	拔下來	c=1 d=6.83424e-111 t=52095
bai 	敗	c=1 d=2.26357e-111 t=52095
bai 	白	c=5 d=2.24363e-07 t=52095
bai bai 	拜拜	c=1 d=2.11542e-50 t=52095
bai de 	白的	c=1 d=5.02997e-93 t=52095
bai du 	百度	c=3 d=2.75833e-76 t=52095
bai du wang pan 	百度網盤	c=1 d=1.49112e-112 t=52095
bai fen bai 	百分百	c=1 d=3.45903e-41 t=52095
bai fen bi 	百分比	c=1 d=6.44653e-71 t=52095
bai jian 	擺件	c=1 d=3.63553e-97 t=52095
bai ke 	百科	c=2 d=1.42237e-49 t=52095
bai wei 	百味	c=0 d=4.24505e-98 t=52095
bai yin 	白銀	c=4 d=6.19473e-20 t=52095
ban 	半	c=2 d=1.8597e-93 t=52095
ban 	搬	c=1 d=1.54266e-100 t=52095
ban 	板	c=2 d=6.77518e-09 t=52095
ban 	版	c=20 d=0.0101435 t=52095
ban 	班	c=8 d=1.29144e-46 t=52095
ban 	辦	c=2 d=5.77886e-90 t=52095
ban ben 	版本	c=122 d=0.559915 t=52095
ban dao ti 	半導體	c=12 d=2.05872e-16 t=52095
ban de 	半德	c=1 d=8.74013e-05 t=52095
ban fa 	辦法	c=7 d=5.50982e-18 t=52095
ban ge 	半個	c=1 d=1.55668e-30 t=52095
ban gong 	辦公	c=4 d=0.00559994 t=52095
ban gong shi 	辦公室	c=1 d=8.64791e-86 t=52095
ban ji 	板級	c=1 d=9.41383e-55 t=52095
ban ju 	半句	c=0 d=4.60267e-79 t=52095
ban ka 	板卡	c=3 d=3.29212e-18 t=52095
ban ka 	辦卡	c=1 d=9.01675e-48 t=52095
ban li 	辦理	c=6 d=7.88656e-47 t=52095
ban ma 	斑馬	c=1 d=3.05187e-97 t=52095
ban miao 	半秒	c=1 d=3.45973e-14 t=52095
ban nian 	半年	c=1 d=7.64866e-112 t=52095
ban qian 	搬遷	c=1 d=1.33498e-46 t=52095
ban quan 	版權	c=4 d=3.74597e-08 t=52095
ban shang 	板上	c=2 d=1.0265e-43 t=52095
ban shi 	辦事	c=1 d=1.79049e-88 t=52095
ban shi chu 	辦事處	c=2 d=5.90299e-85 t=52095
ban tian 	半天	c=2 d=7.14174e-70 t=52095
ban yi zhang 	辦一張	c=1 d=5.51603e-90 t=52095
ban zhuan 	搬磚	c=1 d=7.0522e-98 t=52095
ban zi 	板子	c=7 d=4.86571e-26 t=52095
bang 	幫	c=2 d=5.5988e-30 t=52095
bang 	邦	c=1 d=3.10611e-69 t=52095
bang mang 	幫忙	c=1 d=1.59897e-110 t=52095
bang ni 	幫你	c=2 d=6.89024e-60 t=52095
bang wo 	幫我	c=5 d=1.62946e-87 t=52095
bang zhu 	幫助	c=8 d=1.75157e-06 t=52095
bao 	保	c=1 d=3.08674e-113 t=52095
bao 	包	c=14 d=6.78556e-27 t=52095
bao 	報	c=8 d=3.66731e-23 t=52095
bao 	寶	c=7 d=4.70766e-67 t=52095
bao chi 	保持	c=13 d=0.00022941 t=52095
bao cun 	保存	c=11 d=2.69612e-21 t=52095
bao cuo 	報錯	c=1 d=4.02074e-76 t=52095
bao fei 	報廢	c=2 d=3.33892e-37 t=52095
bao gao 	報告	c=6 d=0.460704 t=52095
bao ge 	寶哥	c=4 d=8.71227e-85 t=52095
bao ge ming 	報個名	c=2 d=1.44695e-23 t=52095
bao han 	包含	c=22 d=0.203905 t=52095
bao hu 	保護	c=31 d=6.48287e-09 t=52095
bao kuo 	包括	c=54 d=6.69386e-06 t=52095
bao le 	報了	c=1 d=5.16483e-22 t=52095
bao ling 	保齡	c=1 d=2.0717e-69 t=52095
bao liu 	保留	c=12 d=4.32206e-31 t=52095
bao mi 	保密	c=2 d=8.72781e-113 t=52095
bao ming 	報名	c=1 d=4.0786e-97 t=52095
bao ming biao 	報名表	c=1 d=3.76014e-23 t=52095
bao ni 	保你	c=1 d=1.02902e-13 t=52095
bao pi 	報批	c=1 d=6.59196e-10 t=52095
bao wen 	報文	c=4 d=6.93153e-22 t=52095
bao wen bei 	保溫杯	c=1 d=5.29326e-105 t=52095
bao xian 	保險	c=4 d=2.52926e-05 t=52095
bao yu 	寶玉	c=2 d=3.85424e-69 t=52095
bao zhang 	保障	c=1 d=1.73757e-88 t=52095
bao zhe 	包着	c=1 d=0.318224 t=52095
bao zheng 	保證	c=7 d=6.51395e-17 t=52095
bei 	倍	c=0 d=0.0690734 t=52095
bei 	備	c=3 d=0.000426457 t=52095
bei 	北	c=1 d=3.17122e-19 t=52095
bei 	唄	c=1 d=2.48662e-99 t=52095
bei 	被	c=43 d=0.164983 t=52095
bei 	貝	c=2 d=4.00832e-69 t=52095
bei an 	備案	c=4 d=0.000675539 t=52095
bei bian 	北邊	c=1 d=2.54957e-99 t=52095
bei dong 	被動	c=1 d=2.92831e-52 t=52095
bei duo fen 	貝多芬	c=2 d=2.56614e-108 t=52095
bei fen 	備份	c=11 d=8.08857e-21 t=52095
bei guang 	背光	c=8 d=1.99992e-101 t=52095
bei hou 	背後	c=0 d=1.44607e-105 t=52095
bei jing 	北京	c=2 d=2.711e-86 t=52095
bei jing 	背景	c=1 d=1.88979e-76 t=52095
bei lun 	悖論	c=1 d=6.00783e-36 t=52095
bei men 	北門	c=1 d=1.13011e-86 t=52095
bei qu 	北區	c=1 d=2.35355e-99 t=52095
bei shu 	倍數	c=9 d=0.00701748 t=52095
bei tai 	備胎	c=1 d=2.20124e-106 t=52095
bei wo 	被我	c=1 d=1.44489e-65 t=52095
bei yi ge 	被一個	c=1 d=1.51768e-55 t=52095
bei yong 	備用	c=1 d=2.51793e-11 t=52095
bei yuan 	北園	c=1 d=7.00152e-72 t=52095
bei zhu 	備註	c=7 d=1.50428e-08 t=52095
bei zi 	杯子	c=1 d=3.59935e-97 t=52095
bei zi 	被子	c=1 d=1.40405e-110 t=52095
ben 	本	c=80 d=0.354439 t=52095
ben biao zhun 	本標準	c=1 d=3.28027e-05 t=52095
ben bo ke 	本博客	c=1 d=2.46883e-44 t=52095
ben chan pin 	本產品	c=1 d=1.78465e-79 t=52095
ben cheng xu 	本程序	c=1 d=1.52238e-62 t=52095
ben ci 	本次	c=3 d=0.000206543 t=52095
ben di 	本地	c=83 d=0.00177004 t=52095
ben fang an 	本方案	c=1 d=1.53951e-76 t=52095
ben gong si 	本公司	c=1 d=1.29932e-51 t=52095
ben ke 	本科	c=2 d=3.34518e-59 t=52095
ben lai 	本來	c=4 d=4.53012e-77 t=52095
ben pian 	本片	c=1 d=1.79854e-82 t=52095
ben ren 	本人	c=11 d=4.56668e-13 t=52095
ben ri 	本日	c=1 d=1.75724e-44 t=52095
ben shen 	本身	c=2 d=6.7421e-69 t=52095
ben shu 	本書	c=0 d=1.15098e-67 t=52095
ben teng 	奔騰	c=1 d=2.95091e-113 t=52095
ben ti 	本體	c=5 d=0.0735345 t=52095
ben wen 	本文	c=8 d=0.00046009 t=52095
ben wen dang 	本文檔	c=1 d=1.7983e-51 t=52095
ben xiang mu 	本項目	c=2 d=1.85023e-33 t=52095
ben yi 	本義	c=2 d=1.25964e-49 t=52095
ben yue 	本月	c=1 d=1.65547e-48 t=52095
ben zhang jie 	本章節	c=1 d=3.20135e-42 t=52095
ben zhe 	本着	c=2 d=3.67355e-06 t=52095
ben zhi 	本職	c=2 d=1.58483e-57 t=52095
ben zhi 	本質	c=2 d=2.54575e-52 t=52095
ben zhou 	本週	c=1 d=2.73173e-58 t=52095
bi 	幣	c=3 d=9.79208e-85 t=52095
bi 	必	c=1 d=8.54267e-89 t=52095
bi 	比	c=15 d=1.50798e-33 t=52095
bi 	筆	c=4 d=0.000357992 t=52095
bi 	閉	c=1 d=2.73016e-110 t=52095
bi an 	彼岸	c=1 d=5.75698e-93 t=52095
bi bei 	必備	c=1 d=2.13421e-07 t=52095
bi duan 	弊端	c=1 d=3.76655e-43 t=52095
bi dui 	比對	c=2 d=3.71565e-30 t=52095
bi guan 	閉關	c=1 d=3.04791e-23 t=52095
bi he 	閉合	c=8 d=2.71024e-15 t=52095
bi ji 	筆記	c=16 d=3.65473e-12 t=52095
bi ji ben 	筆記本	c=5 d=3.45657e-62 t=52095
bi jiao 	比較	c=18 d=0.000114512 t=52095
bi jiao yan 	比較嚴	c=1 d=3.50202e-98 t=52095
bi jing 	畢竟	c=1 d=7.37805e-100 t=52095
bi kai 	避開	c=1 d=4.77733e-75 t=52095
bi keng 	避坑	c=1 d=1.26836e-32 t=52095
bi ma wen 	弼馬溫	c=2 d=2.72432e-55 t=52095
bi mian 	避免	c=17 d=1.25015e-09 t=52095
bi ren 	鄙人	c=6 d=4.86918e-05 t=52095
bi ru 	比如	c=7 d=5.1347e-12 t=52095
bi ru shuo 	比如說	c=1 d=2.2846e-14 t=52095
bi suo 	閉鎖	c=3 d=1.28838e-96 t=52095
bi te 	比特	c=3 d=3.48941e-85 t=52095
bi ti 	鼻涕	c=1 d=1.53946e-105 t=52095
bi xu 	必須	c=18 d=2.27636e-16 t=52095
bi xuan 	必選	c=3 d=7.85507e-43 t=52095
bi yao 	必要	c=2 d=1.09302e-17 t=52095
bi ye 	畢業	c=4 d=2.8063e-14 t=52095
bi ye zheng 	畢業證	c=1 d=2.69794e-88 t=52095
bi zhe 	筆者	c=4 d=0.00149964 t=52095
bi zhi 	壁紙	c=1 d=8.05614e-105 t=52095
bian 	便	c=4 d=5.10648e-06 t=52095
bian 	編	c=2 d=1.06346e-18 t=52095
bian 	變	c=7 d=9.06101e-11 t=52095
bian cheng 	編程	c=29 d=0.000135709 t=52095
bian cheng 	變成	c=2 d=1.83593e-30 t=52095
bian de 	編的	c=2 d=3.66259e-59 t=52095
bian dong 	變動	c=1 d=1.29148e-68 t=52095
bian geng 	變更	c=21 d=0.00757402 t=52095
bian hao 	編號	c=19 d=3.13593e-05 t=52095
bian hu 	邊戶	c=1 d=3.05239e-99 t=52095
bian hua 	變化	c=10 d=1.6051e-52 t=52095
bian ji 	編輯	c=33 d=0.451346 t=52095
bian ji qi 	編輯器	c=1 d=2.31992e-18 t=52095
bian ji wan 	編輯完	c=1 d=9.70941e-07 t=52095
bian jie 	邊界	c=7 d=6.99125e-47 t=52095
bian ke 	便可	c=3 d=4.04254e-22 t=52095
bian kuang 	邊框	c=1 d=1.01598e-10 t=52095
bian li 	便利	c=1 d=3.82518e-107 t=52095
bian liang 	變量	c=43 d=0.000668871 t=52095
bian ma 	編碼	c=24 d=0.00259723 t=52095
bian pin 	變頻	c=10 d=2.01483e-24 t=52095
bian qian 	變遷	c=1 d=3.27493e-74 t=52095
bian shi 	便是	c=1 d=3.42509e-72 t=52095
bian suan 	編算	c=1 d=2.39513e-11 t=52095
bian ti 	變體	c=4 d=6.21125e-16 t=52095
bian wei 	變爲	c=1 d=1.49874e-25 t=52095
bian xi 	辨析	c=1 d=1.45975e-09 t=52095
bian xie 	編寫	c=56 d=0.112159 t=52095
bian yan 	邊沿	c=1 d=9.50005e-74 t=52095
bian yi 	編譯	c=28 d=0.44999 t=52095
bian yi cheng 	編譯成	c=1 d=1.40926e-36 t=52095
bian yi chu lai 	編譯出來	c=1 d=2.11427e-73 t=52095
bian yi gong ju lian 	編譯工具鏈	c=1 d=2.7574e-21 t=52095
bian yi qi 	編譯器	c=13 d=0.0218343 t=52095
bian yu 	便於	c=3 d=2.2025e-54 t=52095
bian zhi 	變直	c=1 d=1.12627e-46 t=52095
bian zhong 	變種	c=1 d=4.68528e-52 t=52095
biao 	標	c=9 d=1.22937e-47 t=52095
biao 	表	c=43 d=0.00328853 t=52095
biao da 	表達	c=5 d=1.00495e-58 t=52095
biao da shi 	表達式	c=2 d=1.14766e-32 t=52095
biao di zhi 	表地址	c=3 d=5.06256e-22 t=52095
biao dian 	標點	c=5 d=2.99941e-05 t=52095
biao ge 	表格	c=10 d=0.0040573 t=52095
biao hong 	標紅	c=1 d=2.86438e-57 t=52095
biao ji 	標記	c=1 d=2.99367e-47 t=52095
biao ji 	表計	c=42 d=2.55287e-27 t=52095
biao ji shu ju 	表計數據	c=1 d=1.72508e-62 t=52095
biao ma 	表碼	c=12 d=1.39474e-19 t=52095
biao ma zhi 	表碼值	c=1 d=1.82927e-46 t=52095
biao ming 	表明	c=1 d=2.16817e-75 t=52095
biao qian 	標籤	c=5 d=0.00848141 t=52095
biao qing 	表情	c=1 d=2.38189e-34 t=52095
biao shi 	標識	c=6 d=2.09727e-18 t=52095
biao shi 	表示	c=26 d=0.0394021 t=52095
biao shu ju 	表數據	c=4 d=5.67955e-22 t=52095
biao ti 	標題	c=3 d=1.6386e-79 t=52095
biao xian 	表現	c=3 d=0.397378 t=52095
biao xiang 	表箱	c=1 d=2.78227e-10 t=52095
biao xiang nei 	表箱內	c=2 d=5.91755e-09 t=52095
biao yi 	表意	c=2 d=5.68055e-104 t=52095
biao yin 	表音	c=2 d=5.75475e-104 t=52095
biao yu 	表語	c=1 d=2.8975e-104 t=52095
biao zhi 	标识	c=2 d=1.08204e-67 t=52095
biao zhi 	標誌	c=3 d=9.68599e-08 t=52095
biao zhi 	標識	c=41 d=0.0164717 t=52095
biao zhu 	標註	c=5 d=0.000338358 t=52095
biao zhun 	標準	c=40 d=0.0015915 t=52095
bie 	別	c=7 d=3.96803e-36 t=52095
bie de 	別的	c=1 d=3.24676e-90 t=52095
bie deng wo 	別等我	c=1 d=6.09532e-59 t=52095
bie ji 	別急	c=1 d=5.23631e-66 t=52095
bie li 	別離	c=0 d=0.288048 t=52095
bie li nan ren ren bie li 	別離難忍忍別離	c=1 d=0.755784 t=52095
bie li nan ren ren li bie 	別離難忍忍離別	c=2 d=1.53713 t=52095
bie ming 	別名	c=2 d=4.15277e-15 t=52095
bie ren 	別人	c=2 d=1.01432e-79 t=52095
bie xue wo 	別學我	c=1 d=8.99348e-47 t=52095
bin 	彬	c=2 d=2.6699e-24 t=52095
bin qi 	擯棄	c=1 d=2.11405e-13 t=52095
bing 	丙	c=1 d=4.43228e-46 t=52095
bing 	並	c=139 d=0.55679 t=52095
bing 	兵	c=1 d=2.91064e-69 t=52095
bing 	冰	c=4 d=1.18561e-39 t=52095
bing bai 	兵敗	c=1 d=1.40801e-55 t=52095
bing bei 	並被	c=1 d=4.21325e-38 t=52095
bing bu 	並不	c=6 d=0.0391639 t=52095
bing bu hui 	並不會	c=1 d=1.85496e-63 t=52095
bing bu yi ding 	並不一定	c=1 d=2.19682e-53 t=52095
bing cha 	冰碴	c=2 d=1.00759e-40 t=52095
bing dui 	並對	c=2 d=1.21962e-71 t=52095
bing gan 	餅乾	c=1 d=1.70665e-112 t=52095
bing mei you 	並沒有	c=1 d=7.59086e-111 t=52095
bing pai 	並排	c=1 d=2.83732e-63 t=52095
bing qie 	並且	c=17 d=0.15259 t=52095
bing qing 	冰清	c=1 d=3.55517e-40 t=52095
bing qing yu jie 	冰清玉潔	c=1 d=3.5909e-40 t=52095
bing ru 	併入	c=2 d=1.00926e-12 t=52095
bing shan 	冰山	c=1 d=1.41744e-104 t=52095
bing wei 	並未	c=2 d=2.53748e-65 t=52095
bing xing 	並行	c=1 d=7.01128e-59 t=52095
bing zai 	並在	c=1 d=2.34707e-96 t=52095
bing zha zha 	冰渣渣	c=1 d=4.64592e-41 t=52095
bo 	波	c=2 d=3.84787e-59 t=52095
bo 	薄	c=1 d=1.03806e-57 t=52095
bo da 	撥打	c=1 d=1.84319e-47 t=52095
bo dao 	波導	c=1 d=3.81218e-67 t=52095
bo en si 	伯恩斯	c=1 d=1.17627e-57 t=52095
bo fang 	播放	c=2 d=1.21924e-30 t=52095
bo ke 	博客	c=46 d=2.83751e-05 t=52095
bo li 	玻璃	c=3 d=4.66826e-68 t=52095
bo luo 	菠蘿	c=1 d=3.03665e-97 t=52095
bo shi 	博士	c=1 d=7.90225e-84 t=52095
bo te lv 	波特率	c=3 d=5.90009e-29 t=52095
bo wen 	博文	c=6 d=8.77478e-22 t=52095
bu 	不	c=139 d=0.00153104 t=52095
bu 	步	c=7 d=3.01348e-07 t=52095
bu 	補	c=2 d=2.44343e-40 t=52095
bu 	部	c=20 d=0.196057 t=52095
bu ban 	不辦	c=1 d=8.19959e-48 t=52095
bu bao zheng 	不保證	c=2 d=1.48146e-65 t=52095
bu bei 	不被	c=2 d=1.6782e-32 t=52095
bu bi 	不必	c=2 d=1.41363e-43 t=52095
bu bian 	不便	c=1 d=8.40117e-69 t=52095
bu bian 	不變	c=2 d=0.233448 t=52095
bu cai 	不才	c=1 d=4.89359e-05 t=52095
bu ceng 	不曾	c=1 d=1.90728e-08 t=52095
bu chang 	步長	c=5 d=2.18207e-62 t=52095
bu chong 	補充	c=5 d=6.45024e-19 t=52095
bu cun zai 	不存在	c=2 d=0.65377 t=52095
bu cuo 	不錯	c=4 d=2.96608e-26 t=52095
bu da 	不大	c=5 d=6.70029e-28 t=52095
bu da suan 	不打算	c=1 d=2.28732e-28 t=52095
bu dao 	不到	c=3 d=2.16559e-61 t=52095
bu de 	不得	c=1 d=2.41534e-51 t=52095
bu di 	不低	c=1 d=5.55803e-91 t=52095
bu diu shi 	不丟失	c=1 d=1.77249e-28 t=52095
bu dong 	不懂	c=1 d=9.76046e-98 t=52095
bu du 	不讀	c=1 d=4.08942e-40 t=52095
bu duan 	不斷	c=2 d=1.2895e-13 t=52095
bu dui 	不對	c=9 d=1.45123e-16 t=52095
bu duo 	不多	c=1 d=4.12744e-90 t=52095
bu duo shuo 	不多說	c=2 d=1.75699e-05 t=52095
bu fa 	步伐	c=1 d=6.72377e-37 t=52095
bu fang 	不妨	c=1 d=7.76897e-31 t=52095
bu fang bian 	不方便	c=2 d=4.79088e-41 t=52095
bu fen 	部分	c=98 d=0.635914 t=52095
bu fu 	不符	c=6 d=0.33454 t=52095
bu fu he 	不符合	c=1 d=1.40457e-85 t=52095
bu gan 	不幹	c=1 d=8.63817e-14 t=52095
bu gan 	不敢	c=2 d=5.85053e-18 t=52095
bu gao 	不高	c=1 d=1.18878e-05 t=52095
bu gen 	不跟	c=2 d=8.57117e-40 t=52095
bu gou 	不夠	c=2 d=1.07899e-12 t=52095
bu gou hao 	不夠好	c=1 d=0.00012909 t=52095
bu guan 	不管	c=2 d=9.0944e-90 t=52095
bu guo 	不過	c=58 d=0.697392 t=52095
bu han 	不含	c=1 d=2.22805e-72 t=52095
bu hao 	不好	c=4 d=1.53747e-31 t=52095
bu hao yi si 	不好意思	c=1 d=4.15604e-83 t=52095
bu he 	不喝	c=2 d=4.34142e-67 t=52095
bu he li 	不合理	c=1 d=1.07128e-104 t=52095
bu hua tu 	不畫圖	c=1 d=4.36258e-36 t=52095
bu hui 	不回	c=1 d=8.53222e-104 t=52095
bu hui 	不會	c=14 d=0.520238 t=52095
bu huo 	捕獲	c=2 d=1.80013e-63 t=52095
bu ji 	不給	c=0 d=4.08942e-41 t=52095
bu ji kui bu 	不及跬步	c=1 d=2.37622e-06 t=52095
bu ji kui bu wu yi zhi qian li 	不給跬步舞移植潛力	c=1 d=4.10992e-40 t=52095
bu ji xiao liu 	不積小流	c=2 d=2.4001e-06 t=52095
bu jia 	不假	c=1 d=3.79575e-75 t=52095
bu jia 	不加	c=2 d=1.83425e-69 t=52095
bu jia si suo 	不假思索	c=1 d=7.83054e-65 t=52095
bu jian 	不見	c=3 d=0.924786 t=52095
bu jian rong 	不兼容	c=1 d=7.28648e-12 t=52095
bu jiang 	不降	c=2 d=3.35413e-104 t=52095
bu jiao 	補交	c=2 d=5.13359e-87 t=52095
bu jie 	不解	c=1 d=1.07467e-53 t=52095
bu jin 	不僅	c=2 d=5.77109e-63 t=52095
bu jin xiang tong 	不盡相同	c=1 d=2.53624e-08 t=52095
bu jiu 	不就	c=1 d=4.15887e-91 t=52095
bu ju 	佈局	c=21 d=1.90078e-16 t=52095
bu kan 	不看	c=1 d=3.09398e-23 t=52095
bu kao lv 	不考慮	c=1 d=5.18437e-37 t=52095
bu kao pu 	不靠譜	c=1 d=1.00361e-13 t=52095
bu ke 	不可	c=1 d=2.69619e-51 t=52095
bu kui 	不愧	c=1 d=1.53293e-55 t=52095
bu lao 	不牢	c=1 d=1.38592e-16 t=52095
bu le 	不了	c=3 d=1.11756e-96 t=52095
bu liao 	不了	c=0 d=5.40295e-112 t=52095
bu liao 	不料	c=1 d=1.40099e-55 t=52095
bu lin ci jiao 	不吝賜教	c=1 d=1.58532e-68 t=52095
bu ling 	補零	c=2 d=1.72034e-59 t=52095
bu luo ge 	部落格	c=1 d=2.00529e-68 t=52095
bu mai 	不買	c=2 d=3.42461e-41 t=52095
bu man zu 	不滿足	c=1 d=2.23617e-56 t=52095
bu men 	部門	c=10 d=2.4796e-07 t=52095
bu ming 	不明	c=2 d=8.70395e-15 t=52095
bu nan 	不難	c=1 d=7.80102e-50 t=52095
bu neng 	不能	c=27 d=0.0182243 t=52095
bu pei zhi 	不配置	c=1 d=1.58101e-36 t=52095
bu ping heng 	不平衡	c=4 d=0.00114844 t=52095
bu qing xi 	不清晰	c=1 d=2.26334e-51 t=52095
bu qing yuan 	不情願	c=1 d=7.35048e-56 t=52095
bu qu 	不去	c=1 d=6.60656e-36 t=52095
bu qu dong 	不驅動	c=1 d=1.33054e-95 t=52095
bu qu fen 	不區分	c=1 d=8.31785e-40 t=52095
bu qu le 	不去了	c=1 d=2.58634e-91 t=52095
bu que ding 	不確定	c=4 d=0.663771 t=52095
bu ran 	不然	c=2 d=1.04457e-13 t=52095
bu rang 	不讓	c=1 d=7.95726e-48 t=52095
bu rao quan zi le 	不繞圈子了	c=1 d=1.89384e-13 t=52095
bu ren 	不忍	c=0 d=0.0718924 t=52095
bu ren que you bie li 	不忍卻又別離	c=3 d=2.37026 t=52095
bu rong yi 	不容易	c=1 d=1.52217e-31 t=52095
bu ru 	不如	c=1 d=2.15529e-05 t=52095
bu ru 	步入	c=1 d=7.5617e-07 t=52095
bu sha 	捕殺	c=1 d=7.68177e-104 t=52095
bu shao 	不少	c=1 d=2.43464e-27 t=52095
bu she zhi 	不設置	c=1 d=6.2121e-47 t=52095
bu sheng gan ji 	不勝感激	c=1 d=1.67496e-68 t=52095
bu shi 	不是	c=34 d=0.117717 t=52095
bu shi 	不溼	c=0 d=8.41289e-57 t=52095
bu shi ba 	不是吧	c=1 d=1.98202e-19 t=52095
bu shi xie 	不溼鞋	c=1 d=8.45506e-56 t=52095
bu shi yong 	不適用	c=1 d=1.58451e-62 t=52095
bu shou 	不受	c=1 d=5.21568e-49 t=52095
bu shou 	部首	c=1 d=1.91171e-94 t=52095
bu shu 	部署	c=4 d=3.28194e-11 t=52095
bu shu yu 	不屬於	c=1 d=5.63357e-44 t=52095
bu shuang 	不爽	c=1 d=1.76623e-104 t=52095
bu tai 	不太	c=1 d=1.37246e-107 t=52095
bu tai 	補胎	c=1 d=4.22388e-97 t=52095
bu ting 	不停	c=1 d=1.28866e-13 t=52095
bu tong 	不同	c=30 d=6.99558e-08 t=52095
bu tong kuai 	不痛快	c=1 d=5.89407e-17 t=52095
bu wan shan 	不完善	c=1 d=2.39423e-36 t=52095
bu wei 	不爲	c=1 d=4.28886e-12 t=52095
bu xian shi 	不顯示	c=1 d=1.18898e-07 t=52095
bu xian yu 	不限於	c=1 d=1.73408e-35 t=52095
bu xiang 	不像	c=2 d=4.96569e-30 t=52095
bu xie 	不寫	c=1 d=1.17643e-88 t=52095
bu xing 	不行	c=8 d=2.05752e-47 t=52095
bu xing le 	不行了	c=1 d=2.96076e-64 t=52095
bu xing me 	不行麼	c=1 d=1.8729e-88 t=52095
bu xu 	不需	c=3 d=2.8175e-10 t=52095
bu xu yao 	不需要	c=9 d=8.14848e-17 t=52095
bu xuan ze 	不選擇	c=1 d=1.0708e-40 t=52095
bu yao 	不要	c=7 d=8.06816e-05 t=52095
bu yao le 	不搖了	c=1 d=2.25389e-90 t=52095
bu yao pa 	不要怕	c=1 d=3.92774e-36 t=52095
bu ye 	不也	c=2 d=3.00336e-85 t=52095
bu yi 	補遺	c=2 d=8.70314e-09 t=52095
bu yi ding 	不一定	c=5 d=1.90426e-48 t=52095
bu yi yang 	不一樣	c=4 d=3.15326e-11 t=52095
bu yi zhi 	不一致	c=3 d=1.09641e-24 t=52095
bu ying 	不應	c=2 d=2.08285e-102 t=52095
bu ying gai 	不應該	c=1 d=2.98168e-88 t=52095
bu ying xiang 	不影響	c=1 d=1.73833e-05 t=52095
bu yong 	不用	c=13 d=5.52502e-21 t=52095
bu yong le 	不用了	c=1 d=4.41304e-83 t=52095
