# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	21961
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=7 d=0.08291 t=21961
ban zi 	板子	c=3 d=0.00136037 t=21961
bang 	幫	c=3 d=9.64577e-13 t=21961
bang ding 	綁定	c=4 d=0.00492496 t=21961
bang mang 	幫忙	c=2 d=0.622384 t=21961
bang shou 	幫手	c=1 d=4.20022e-31 t=21961
bao 	包	c=11 d=0.498553 t=21961
bao 	報	c=6 d=0.574072 t=21961
bao 	寶	c=3 d=0.153455 t=21961
bao chi 	保持	c=10 d=0.00717121 t=21961
bao cun 	保存	c=9 d=0.00487649 t=21961
bao dao 	報到	c=0 d=0.00672055 t=21961
bao dao zheng 	報到證	c=1 d=0.0675424 t=21961
bao ding 	抱定	c=1 d=2.08577e-31 t=21961
bao gao 	報告	c=1 d=0.0238732 t=21961
bao ge 	寶哥	c=4 d=1.23313e-20 t=21961
bao guang 	暴光	c=1 d=6.16116e-09 t=21961
bao han 	包含	c=12 d=0.319822 t=21961
bao hu 	保護	c=3 d=0.494109 t=21961
bao ji 	暴擊	c=1 d=1.09529e-12 t=21961
bao kuo 	包括	c=11 d=0.18236 t=21961
bao le 	報了	c=2 d=0.000107602 t=21961
bao liu 	保留	c=20 d=0.000971832 t=21961
bao qian 	抱歉	c=1 d=9.05762e-13 t=21961
bao wen 	報文	c=14 d=0.00010208 t=21961
bao xian 	保險	c=2 d=0.225373 t=21961
bao zao 	暴躁	c=1 d=0.839457 t=21961
bei 	倍	c=1 d=0.00184551 t=21961
bei 	備	c=2 d=0.0167831 t=21961
bei 	被	c=28 d=0.947532 t=21961
bei 	貝	c=1 d=4.80992e-08 t=21961
bei an 	備案	c=1 d=0.263158 t=21961
bei bao han 	被包含	c=1 d=3.19374e-14 t=21961
bei fang 	北方	c=1 d=2.59903e-31 t=21961
bei fen 	備份	c=6 d=4.91083e-08 t=21961
bei jing 	背景	c=1 d=6.19205e-09 t=21961
bei nan fang 	被南方	c=1 d=2.52222e-31 t=21961
bei yong 	備用	c=1 d=0.00247875 t=21961
ben 	本	c=4 d=1.9113e-10 t=21961
ben ci 	本次	c=3 d=1.02635 t=21961
ben di 	本地	c=22 d=0.537431 t=21961
ben lai 	本來	c=2 d=1.72966e-05 t=21961
ben pian 	本篇	c=2 d=2.74318e-05 t=21961
ben ren 	本人	c=1 d=0.00737249 t=21961
ben shen 	本身	c=4 d=0.0172035 t=21961
ben ti 	本體	c=1 d=0.000190664 t=21961
ben zhou 	本週	c=1 d=0.0263839 t=21961
beng 	泵	c=2 d=9.84063e-13 t=21961
bi 	哔	c=1 d=1.73502e-12 t=21961
bi 	屄	c=1 d=3.05216e-10 t=21961
bi 	比	c=5 d=0.00453922 t=21961
bi 	畢	c=1 d=3.71893e-11 t=21961
bi bei 	必備	c=1 d=2.28421e-12 t=21961
bi dao 	哔叨	c=1 d=2.09159e-05 t=21961
bi ji ben 	筆記本	c=1 d=0.650509 t=21961
bi jiao 	比較	c=5 d=0.00124328 t=21961
bi jing 	畢竟	c=1 d=0.0118551 t=21961
bi lei 	壁壘	c=1 d=0.0142642 t=21961
bi li 	比例	c=1 d=2.08939e-22 t=21961
bi mian 	避免	c=5 d=1.34092 t=21961
bi ru 	比如	c=9 d=1.29597 t=21961
bi shi 	彼時	c=1 d=1.52352e-12 t=21961
bi xu 	必須	c=6 d=0.145876 t=21961
bi yao 	必要	c=2 d=1.38317e-22 t=21961
bi ye 	畢業	c=1 d=8.0764e-17 t=21961
bi zhan 	逼站	c=1 d=1.72637e-12 t=21961
bi zhe 	比這	c=1 d=0.0407622 t=21961
bi zhe 	筆者	c=2 d=2.88148e-05 t=21961
bi zhong 	比重	c=1 d=0.733447 t=21961
bian 	便	c=9 d=0.168639 t=21961
bian 	編	c=4 d=0.00031478 t=21961
bian 	變	c=3 d=9.38983e-06 t=21961
bian chang 	變長	c=11 d=1.94093 t=21961
bian chang shu zu 	變長數組	c=1 d=0.000197455 t=21961
bian cheng 	編程	c=3 d=0.00308872 t=21961
bian cheng gui fan 	編程規範	c=1 d=2.13493e-11 t=21961
bian cheng yu yan 	編程語言	c=1 d=6.26833e-06 t=21961
bian de 	變得	c=1 d=0.0291588 t=21961
bian geng 	變更	c=7 d=0.0173358 t=21961
bian hang shu zu 	編行數組	c=1 d=0.00019647 t=21961
bian hao 	編號	c=11 d=0.0218609 t=21961
bian hua 	變化	c=5 d=8.41439e-13 t=21961
bian hui 	便會	c=2 d=0.000876127 t=21961
bian ji 	編輯	c=9 d=0.961087 t=21961
bian li 	遍歷	c=14 d=0.694197 t=21961
bian liang 	變量	c=38 d=1.39035 t=21961
bian lv 	變綠	c=1 d=4.63802e-21 t=21961
bian ma 	編碼	c=1 d=0.0528657 t=21961
bian shi 	便是	c=1 d=3.4217e-31 t=21961
bian xie 	便攜	c=2 d=3.4681e-08 t=21961
bian xie 	編寫	c=24 d=0.00522971 t=21961
bian yi 	編譯	c=5 d=0.000169694 t=21961
bian yi qi 	編譯器	c=15 d=0.0502455 t=21961
bian you le 	便有了	c=1 d=3.95562e-31 t=21961
biao 	標	c=1 d=0.00130703 t=21961
biao 	表	c=49 d=2.90857 t=21961
biao dang an 	表檔案	c=1 d=0.298197 t=21961
biao ge 	表格	c=1 d=0.000209665 t=21961
biao ji 	標記	c=2 d=5.60953e-19 t=21961
biao ji 	表計	c=141 d=5.60725 t=21961
biao ji dang an 	表計檔案	c=2 d=0.467666 t=21961
biao ji lei xing 	表計類型	c=1 d=1 t=21961
biao lei xing 	表類型	c=1 d=0.677057 t=21961
biao ming 	表明	c=2 d=9.75808e-07 t=21961
biao qian 	標籤	c=1 d=8.27241e-05 t=21961
biao shi 	標識	c=4 d=1.12137 t=21961
biao shi 	表示	c=29 d=1.11235 t=21961
biao shi fang shi 	表示方式	c=2 d=0.000381005 t=21961
biao ti 	標題	c=8 d=0.000125753 t=21961
biao xian 	表現	c=1 d=2.25949e-31 t=21961
biao xian xing shi 	表現形式	c=1 d=4.61881e-31 t=21961
biao zheng 	表徵	c=2 d=1.16481e-18 t=21961
biao zhi 	標誌	c=2 d=1.51345e-14 t=21961
biao zhi 	標識	c=30 d=1.43764 t=21961
biao zhi wei 	標識位	c=1 d=4.46617e-18 t=21961
biao zhun 	標準	c=31 d=0.622028 t=21961
biao zhun ku 	標準庫	c=1 d=9.14242e-05 t=21961
bie 	別	c=5 d=0.00621991 t=21961
bie ming 	別名	c=3 d=8.27505e-05 t=21961
bie pa 	別怕	c=1 d=1.33779e-12 t=21961
bie ren 	別人	c=1 d=0.514274 t=21961
bin 	斌	c=1 d=4.36495e-13 t=21961
bing 	並	c=79 d=1.42483 t=21961
bing 	冰	c=1 d=3.33722e-31 t=21961
bing bu 	並不	c=3 d=0.00675389 t=21961
bing bu ceng 	並不層	c=1 d=0.0280154 t=21961
bing bu shi 	並不是	c=2 d=7.0934e-05 t=21961
bing cheng 	並稱	c=1 d=1.67883e-07 t=21961
bing deng 	冰燈	c=6 d=1.88764e-30 t=21961
bing dui 	並對	c=2 d=2.55468e-05 t=21961
bing fa bu 	並發佈	c=1 d=5.19973e-13 t=21961
bing jie jue 	並解決	c=1 d=0.000150733 t=21961
bing qie 	並且	c=8 d=0.534445 t=21961
bing wei 	並未	c=2 d=0.00326335 t=21961
bing zhao 	冰罩	c=1 d=3.83872e-31 t=21961
bo 	波	c=1 d=4.43092e-13 t=21961
bo chu 	剝除	c=1 d=4.96754e-05 t=21961
bo le shi 	博樂市	c=0 d=1.02229e-25 t=21961
bo te 	波特	c=2 d=0.316637 t=21961
bo te lv 	波特率	c=20 d=1.3708 t=21961
bo te shuai 	波特率	c=1 d=5.3952e-06 t=21961
bu 	不	c=49 d=3.178 t=21961
bu 	布	c=2 d=1.22114e-14 t=21961
bu 	步	c=1 d=1.71718e-08 t=21961
bu 	補	c=1 d=2.40092e-10 t=21961
bu 	部	c=10 d=1.60512 t=21961
bu an ben fen 	不安本份	c=1 d=1.26096e-22 t=21961
bu bei 	不背	c=1 d=1.2625e-07 t=21961
bu bi yao 	不必要	c=1 d=2.31873e-12 t=21961
bu bian 	不便	c=1 d=1.20445e-12 t=21961
bu bian 	不變	c=5 d=0.722527 t=21961
bu bu 	不不	c=1 d=0.000311223 t=21961
bu chao 	補抄	c=5 d=2.47404e-10 t=21961
bu chi 	不吃	c=3 d=2.3852e-47 t=21961
bu chong 	補充	c=1 d=0.631284 t=21961
bu chong fa 	不重發	c=1 d=2.4989e-10 t=21961
bu chu lai 	不出來	c=1 d=3.00202e-21 t=21961
bu cun zai 	不存在	c=2 d=0.158817 t=21961
bu da 	不大	c=7 d=5.31404e-17 t=21961
bu da 	不打	c=1 d=1.85539e-07 t=21961
bu dai 	不帶	c=1 d=0.00106477 t=21961
bu dai biao 	不代表	c=1 d=7.53143e-48 t=21961
bu ding 	不定	c=0 d=9.56974e-14 t=21961
bu ding 	補丁	c=1 d=2.38894e-10 t=21961
bu dong 	不懂	c=1 d=1.43231e-21 t=21961
bu dong shou 	不動手	c=1 d=0.0100017 t=21961
bu duan 	不斷	c=1 d=0.618783 t=21961
bu dui 	不對	c=4 d=5.66007e-11 t=21961
bu er 	布爾	c=0 d=7.82971e-06 t=21961
bu er xing 	布爾型	c=1 d=7.86896e-05 t=21961
bu fen 	部分	c=48 d=2.0986 t=21961
bu fu 	不符	c=6 d=0.4148 t=21961
bu gou 	不夠	c=1 d=0.162838 t=21961
bu guan 	不管	c=1 d=0.000147011 t=21961
bu guan bi 	部關閉	c=1 d=2.99998e-13 t=21961
bu guan xin 	不關心	c=1 d=2.88039e-05 t=21961
bu gui 	不貴	c=1 d=2.06754e-16 t=21961
bu guo 	不過	c=7 d=0.048619 t=21961
bu guo zai 	不過在	c=1 d=0.000385874 t=21961
bu hao 	不好	c=1 d=4.75624e-23 t=21961
bu hao yong 	不好用	c=1 d=7.43242e-10 t=21961
bu hui 	不會	c=3 d=0.860708 t=21961
bu jian 	不見	c=0 d=5.42023e-32 t=21961
bu jian xuan ze 	不見選擇	c=1 d=5.4474e-31 t=21961
bu jian yi 	不建議	c=2 d=0.0265162 t=21961
bu ju 	佈局	c=20 d=0.351293 t=21961
bu jue de 	不覺得	c=1 d=0.0361528 t=21961
bu ke 	不可	c=2 d=0.412714 t=21961
bu ke xing 	不可行	c=1 d=0.00516939 t=21961
bu liang 	不良	c=1 d=5.69813e-31 t=21961
bu liao 	不了	c=0 d=0.0082085 t=21961
bu liao 	不料	c=1 d=1.89255e-05 t=21961
bu mei 	不美	c=1 d=3.97545e-31 t=21961
bu mie 	不滅	c=1 d=3.99538e-31 t=21961
bu ming 	不明	c=1 d=1.02476e-23 t=21961
bu neng 	不能	c=12 d=0.467666 t=21961
bu qi 	不起	c=1 d=0.109154 t=21961
bu qing chu 	不清楚	c=1 d=3.90827e-07 t=21961
bu qu le 	不去了	c=1 d=3.78297e-06 t=21961
bu ran 	不然	c=2 d=0.00918669 t=21961
bu re 	不熱	c=0 d=0.0246597 t=21961
bu re a ka 	不熱阿卡	c=2 d=0.247833 t=21961
bu shang bao 	部上報	c=1 d=9.87998e-06 t=21961
bu shao 	不少	c=1 d=0.00524752 t=21961
bu shao ren 	不少人	c=1 d=1.24735e-12 t=21961
bu shi 	不是	c=10 d=0.0110077 t=21961
bu shi bie 	不識別	c=1 d=2.83211e-12 t=21961
bu shou 	不受	c=2 d=0.0713613 t=21961
bu shu 	部署	c=2 d=1.25798e-13 t=21961
bu tai 	不太	c=1 d=1.33757e-10 t=21961
bu tong 	不同	c=9 d=0.276651 t=21961
bu tong dian 	不同點	c=2 d=0.00264389 t=21961
bu tui jian 	不推薦	c=1 d=4.05093e-17 t=21961
bu xiang gan 	不相干	c=1 d=2.25526e-09 t=21961
bu xiang tong 	不相同	c=1 d=7.25014e-12 t=21961
bu xing 	不行	c=3 d=0.346456 t=21961
bu xu 	不需	c=2 d=0.00268523 t=21961
bu xu yao 	不需要	c=2 d=2.71967e-06 t=21961
bu yao 	不要	c=5 d=0.000611253 t=21961
bu yi ding 	不一定	c=1 d=0.00150707 t=21961
bu yi yang 	不一樣	c=1 d=3.11753e-24 t=21961
bu ying 	不應	c=3 d=0.0071546 t=21961
bu yong 	不用	c=1 d=0.00115345 t=21961
bu yu 	捕魚	c=1 d=3.22244e-31 t=21961
bu zai 	不再	c=21 d=0.941996 t=21961
bu zai 	不在	c=0 d=0.00131675 t=21961
bu zai yu 	不在於	c=1 d=0.0132336 t=21961
bu zhi 	不知	c=1 d=1.27497e-05 t=21961
bu zhi chi 	不支持	c=5 d=0.136716 t=21961
bu zhi dao 	不知道	c=5 d=1.9605 t=21961
bu zhou 	步驟	c=2 d=2.98415e-09 t=21961
bu zuo 	不做	c=2 d=0.0939493 t=21961
c yu yan 	C語言	c=1 d=1.693e-47 t=21961
ca 	擦	c=1 d=4.47545e-13 t=21961
ca chu 	擦除	c=6 d=0.00356425 t=21961
ca shu 	擦數	c=1 d=9.48259e-23 t=21961
cai 	才	c=6 d=0.937067 t=21961
cai hui 	纔會	c=1 d=0.00644146 t=21961
cai ji 	採集	c=29 d=0.0101929 t=21961
cai ji qi 	採集器	c=8 d=0.0584508 t=21961
cai ji zhou qi 	採集週期	c=1 d=0.017163 t=21961
cai neng 	才能	c=1 d=0.14808 t=21961
cai nuan 	採暖	c=0 d=3.10525e-08 t=21961
cai nuan ji 	採暖季	c=1 d=3.12082e-07 t=21961
cai qu 	採取	c=1 d=4.04116e-18 t=21961
cai shi 	纔是	c=2 d=0.00970659 t=21961
cai yang 	採樣	c=7 d=0.112478 t=21961
cai yong 	採用	c=1 d=4.03128e-48 t=21961
cai zhi dao 	才知道	c=1 d=0.0290133 t=21961
can 	參	c=2 d=4.54308e-13 t=21961
can jian 	參見	c=1 d=0.000219315 t=21961
can kao 	參考	c=12 d=0.0215114 t=21961
can kui 	慚愧	c=1 d=7.54217e-06 t=21961
can liu 	殘留	c=1 d=1.44071e-31 t=21961
can shu 	參數	c=197 d=4.39337 t=21961
can shu gu 	參數股	c=1 d=0.000493001 t=21961
can shu qu 	參數區	c=49 d=0.722276 t=21961
can yu 	參與	c=2 d=0.00260584 t=21961
cang 	倉	c=4 d=3.1728e-09 t=21961
cang ku 	倉庫	c=1 d=1.38856e-09 t=21961
cao 	肏	c=1 d=3.06746e-10 t=21961
cao 	草	c=1 d=4.58874e-13 t=21961
cao zuo 	操作	c=22 d=1.63385 t=21961
cao zuo xi tong 	操作系統	c=1 d=1.20383e-06 t=21961
ce 	側	c=6 d=3.71766e-07 t=21961
ce 	測	c=7 d=0.100003 t=21961
ce le 	測了	c=2 d=0.135335 t=21961
ce liang 	測量	c=2 d=0.00580916 t=21961
ce liang dian 	測量點	c=5 d=1.77446e-07 t=21961
ce liang dian hao 	測量點號	c=2 d=0.343009 t=21961
ce lve 	策略	c=1 d=0.0187793 t=21961
ce shi 	測試	c=110 d=3.23022 t=21961
ce shi huan jing 	測試環境	c=1 d=0.000224867 t=21961
ce shi ruan jian 	測試軟件	c=1 d=1.59722e-09 t=21961
ce shi zu 	測試組	c=1 d=1.02619e-10 t=21961
cen 	岑	c=1 d=4.63486e-13 t=21961
ceng 	層	c=48 d=0.923116 t=21961
ceng 	曾	c=4 d=0.000583341 t=21961
ceng 	蹭	c=1 d=7.30037e-05 t=21961
ceng ci 	層次	c=1 d=1.07843e-06 t=21961
ceng jing 	曾經	c=1 d=3.03642e-08 t=21961
cha 	差	c=1 d=4.51259e-22 t=21961
cha 	查	c=11 d=0.625504 t=21961
cha bu dao 	查不到	c=1 d=2.00576e-12 t=21961
cha cha 	查查	c=1 d=1.38281e-19 t=21961
cha jian 	插件	c=1 d=1.60136e-10 t=21961
cha ka 	插卡	c=1 d=1.25924e-06 t=21961
cha kan 	查看	c=12 d=0.587566 t=21961
cha tou 	插頭	c=1 d=2.05758e-18 t=21961
cha xun 	查詢	c=19 d=1.18749 t=21961
cha xun dao 	查詢到	c=1 d=2.69398e-12 t=21961
cha yi 	差異	c=2 d=1.62398e-13 t=21961
cha zhao 	查找	c=14 d=0.971727 t=21961
cha zhi 	差值	c=1 d=0.188247 t=21961
chai 	拆	c=2 d=4.70491e-13 t=21961
chai xia 	拆下	c=1 d=0.000829241 t=21961
chan 	產	c=2 d=9.48067e-13 t=21961
chan pin 	產品	c=4 d=0.00408468 t=21961
chan sheng 	產生	c=0 d=1.29711e-32 t=21961
chan sheng le 	產生了	c=2 d=0.031273 t=21961
chang 	常	c=2 d=1.78264e-07 t=21961
chang 	長	c=7 d=0.00744658 t=21961
chang du 	長度	c=51 d=3.33339 t=21961
chang du yu 	長度域	c=1 d=9.3287e-07 t=21961
chang gui 	常規	c=1 d=2.58879e-14 t=21961
chang he 	場合	c=1 d=0.000261259 t=21961
chang jia 	廠家	c=2 d=0.680451 t=21961
chang jing 	場景	c=2 d=0.00486835 t=21961
chang liang 	常量	c=8 d=3.60696e-05 t=21961
chang liang 	長亮	c=1 d=4.93252e-10 t=21961
chang qi 	長期	c=2 d=0.00453581 t=21961
chang shang 	廠商	c=9 d=0.0125881 t=21961
chang shi 	嘗試	c=4 d=0.895834 t=21961
chang shu 	常數	c=1 d=9.16609e-06 t=21961
chang shuo 	常說	c=1 d=1.41926e-31 t=21961
chang yong 	常用	c=11 d=0.0156256 t=21961
chao 	抄	c=9 d=0.0306795 t=21961
chao bao 	抄報	c=2 d=1.18174e-06 t=21961
chao biao 	抄表	c=100 d=2.39198 t=21961
chao biao ri 	抄表日	c=4 d=0.0210981 t=21961
chao biao shi 	抄表時	c=2 d=1.20532e-19 t=21961
chao chu 	超出	c=2 d=0.00719046 t=21961
chao du 	抄讀	c=4 d=1.88293e-16 t=21961
chao guo 	超過	c=7 d=0.0039002 t=21961
chao qian 	超前	c=1 d=1.25015e-09 t=21961
chao shi 	超市	c=1 d=3.02859e-07 t=21961
chao shi 	超時	c=33 d=1.04401 t=21961
chao wan 	抄完	c=2 d=4.02776e-17 t=21961
che 	車	c=5 d=4.82401e-13 t=21961
che jian 	車間	c=2 d=0.00153381 t=21961
che ti 	車體	c=1 d=1.62274e-19 t=21961
che xiao 	撤銷	c=1 d=8.27804e-13 t=21961
chen 	陳	c=2 d=4.10428e-10 t=21961
chen gong 	陳工	c=1 d=9.98947e-18 t=21961
chen teng 	陳滕	c=1 d=4.1614e-10 t=21961
cheng 	成	c=10 d=0.955997 t=21961
cheng 	撐	c=3 d=1.51481e-23 t=21961
cheng 	稱	c=1 d=3.38017e-05 t=21961
cheng ben 	成本	c=3 d=0.0401357 t=21961
cheng bu zhu 	撐不住	c=1 d=4.76855e-24 t=21961
cheng du 	程度	c=1 d=7.99604e-17 t=21961
cheng gong 	成功	c=29 d=0.535261 t=21961
cheng jian 	成見	c=1 d=9.07643e-08 t=21961
cheng le 	成了	c=3 d=0.40657 t=21961
cheng shi 	程式	c=2 d=3.61264e-08 t=21961
cheng wei 	成爲	c=1 d=4.43771e-31 t=21961
cheng xu 	程序	c=194 d=4.75944 t=21961
cheng xu yuan 	程序員	c=1 d=5.58738e-06 t=21961
cheng zhi wei 	稱之爲	c=1 d=5.81324e-31 t=21961
chi 	吃	c=1 d=0.0330412 t=21961
chi 	持	c=2 d=2.36557e-12 t=21961
chi 	池	c=1 d=3.37202e-06 t=21961
chi 	遲	c=1 d=1.41098e-21 t=21961
chi bu dao 	吃不到	c=1 d=8.19959e-48 t=21961
chi fan 	吃飯	c=1 d=0.00104891 t=21961
chi niang 	持釀	c=1 d=6.03711e-05 t=21961
chi xu 	持續	c=10 d=0.933974 t=21961
chi you 	持有	c=1 d=4.56353e-07 t=21961
chi you zhe 	持有者	c=2 d=1.07529e-11 t=21961
chi zao 	遲早	c=1 d=0.0109436 t=21961
chong 	充	c=3 d=0.000884932 t=21961
chong 	衝	c=2 d=0.201897 t=21961
chong 	重	c=2 d=0.316842 t=21961
chong bai 	崇拜	c=1 d=2.3283e-31 t=21961
chong dian 	充電	c=9 d=0.541666 t=21961
chong ding xiang 	重定向	c=1 d=0.00010569 t=21961
chong fa 	重發	c=10 d=3.61274 t=21961
chong fen 	充分	c=1 d=2.30717e-12 t=21961
chong fu 	重複	c=5 d=0.060511 t=21961
chong gou 	重構	c=7 d=0.0758776 t=21961
chong man 	充滿	c=1 d=1.37045e-31 t=21961
chong ming 	重名	c=1 d=8.27381e-07 t=21961
chong ming ming 	重命名	c=2 d=0.00470091 t=21961
chong qi 	重啓	c=5 d=0.0596059 t=21961
chong qing 	重慶	c=3 d=6.80682e-05 t=21961
chong qu 	衝區	c=2 d=7.73496e-08 t=21961
chong she 	重設	c=2 d=2.20152e-07 t=21961
chong shi 	重試	c=2 d=0.0212797 t=21961
chong xin 	重新	c=30 d=0.996672 t=21961
chong zhi 	重置	c=8 d=0.00172937 t=21961
chong zu 	充足	c=1 d=1.17527e-47 t=21961
chong zu 	重組	c=2 d=3.22871e-05 t=21961
chou 	抽	c=1 d=4.94613e-13 t=21961
chou xiang 	抽象	c=21 d=0.0632918 t=21961
chou xiang jiang 	抽象將	c=1 d=2.0315e-15 t=21961
chu 	出	c=10 d=0.250324 t=21961
chu 	初	c=2 d=0.150318 t=21961
chu 	處	c=1 d=0.00318278 t=21961
chu 	除	c=4 d=6.45923e-06 t=21961
chu ban 	出版	c=1 d=1.64134e-06 t=21961
chu ban 	初版	c=1 d=0.172045 t=21961
chu bu 	初步	c=2 d=0.0652193 t=21961
chu chang 	出廠	c=5 d=0.00209942 t=21961
chu chang hou 	出廠後	c=2 d=4.50561e-20 t=21961
chu ci 	初次	c=2 d=0.0368832 t=21961
chu cuo 	出錯	c=1 d=0.000584356 t=21961
chu fa 	出發	c=3 d=1.19285e-10 t=21961
chu fa 	觸發	c=3 d=3.51812e-06 t=21961
chu fa yuan 	觸發源	c=2 d=3.53575e-05 t=21961
chu huo 	出貨	c=3 d=6.89524e-10 t=21961
chu ji 	初級	c=1 d=1.58569e-12 t=21961
chu lai 	出來	c=14 d=0.802193 t=21961
chu le 	除了	c=3 d=0.00933205 t=21961
chu li 	處理	c=38 d=1.524 t=21961
chu ru 	出入	c=1 d=1.45198e-05 t=21961
chu shen 	出身	c=1 d=0.00878245 t=21961
chu shi 	初始	c=8 d=0.302861 t=21961
chu shi hua 	初始化	c=54 d=0.392993 t=21961
chu shi huan 	出使喚	c=1 d=3.04428e-09 t=21961
chu shi shi jian 	初始時間	c=1 d=0.00157264 t=21961
chu shi wei 	初始爲	c=1 d=1.6584e-10 t=21961
chu shi zhi 	初始值	c=1 d=4.29178e-20 t=21961
chu wai 	除外	c=2 d=7.27439e-19 t=21961
chu wen ti 	出問題	c=2 d=0.0819753 t=21961
chu xian 	出現	c=7 d=1.17762 t=21961
chu xian guo 	出現過	c=1 d=8.96597e-11 t=21961
chu yu 	處於	c=6 d=0.818731 t=21961
chuai 	踹	c=2 d=1.00167e-12 t=21961
chuan 	串	c=5 d=0.960789 t=21961
chuan de 	傳得	c=1 d=5.32773e-05 t=21961
chuan de 	穿的	c=1 d=5.30116e-05 t=21961
chuan di 	傳遞	c=3 d=0.0439369 t=21961
chuan kou 	串口	c=31 d=1.30291 t=21961
chuan lai 	傳來	c=1 d=0.000464291 t=21961
chuan le 	傳了	c=1 d=5.97704e-05 t=21961
chuan shu 	傳輸	c=2 d=1.21028e-10 t=21961
chuan shuo 	傳說	c=3 d=6.36144e-31 t=21961
chuan tou 	穿透	c=1 d=0.0409665 t=21961
chuang 	牀	c=1 d=5.07135e-13 t=21961
chuang jian 	創建	c=1 d=7.39661e-12 t=21961
chuang kou 	窗口	c=6 d=0.000426457 t=21961
chuang kou qi 	窗口期	c=1 d=9.1992e-19 t=21961
chui 	吹	c=1 d=5.09677e-13 t=21961
chui peng 	吹捧	c=1 d=0.0357931 t=21961
chun 	春	c=1 d=5.12231e-13 t=21961
chun cui 	純粹	c=2 d=0.00786674 t=21961
chuo 	戳	c=7 d=0.00167826 t=21961
ci 	次	c=5 d=0.0183156 t=21961
ci 	此	c=6 d=0.70822 t=21961
ci 	磁	c=0 d=1.53538e-16 t=21961
ci 	詞	c=1 d=0.99005 t=21961
ci bao 	此包	c=2 d=1.92046e-12 t=21961
ci cai 	此菜	c=1 d=1.01157e-47 t=21961
ci chu 	此處	c=10 d=0.0086517 t=21961
ci gan rao 	磁干擾	c=1 d=1.54307e-15 t=21961
ci hui 	詞彙	c=1 d=0.0572688 t=21961
ci ku 	詞庫	c=1 d=1.67615e-47 t=21961
ci lei 	此類	c=1 d=1.81927e-11 t=21961
ci ri 	次日	c=5 d=0.00282145 t=21961
